city1,geonameid1,country1,city2,geonameid2,country2
Ahaus,2959279,DE,Ahwas,144448,IR
Ahaus,2959279,DE,Aarhus,2624652,DK
Ahaus,2959279,DE,Åhus,2727363,SE
Ahaus,2959279,DE,Ahausen,2959272,DE
Ahaus,2959279,DE,Ahaus,2959279,DE
Amberg,2956656,DE,Amberley,2193968,NZ
Amberg,2956656,DE,Amberes,2803138,BE
Amberg,2956656,DE,Amburgo,2911298,DE
Amberg,2956656,DE,Arberg,2955697,DE
Amberg,2956656,DE,Amberg,2956656,DE
Ansbach,2955936,DE,Abacha,616022,GE
Ansbach,2955936,DE,Ans,2803160,BE
Ansbach,2955936,DE,Abbach,2953559,DE
Ansbach,2955936,DE,Asbach,2955315,DE
Ansbach,2955936,DE,Ansbach,2955936,DE
Aschaffenburg,2955272,DE,Sachsenburg,2766905,AT
Aschaffenburg,2955272,DE,Offenburg,2857798,DE
Aschaffenburg,2955272,DE,Escheburg,2929123,DE
Aschaffenburg,2955272,DE,Ascheberg,2955224,DE
Aschaffenburg,2955272,DE,Aschaffenburg,2955272,DE
Banská Štiavnica,3061184,SK,Bansko,733462,BG
Banská Štiavnica,3061184,SK,Banat,1277409,IN
Banská Štiavnica,3061184,SK,Bansoa,2234803,CM
Banská Štiavnica,3061184,SK,Bana,2234936,CM
Banská Štiavnica,3061184,SK,Banská Štiavnica,3061184,SK
Bergneustadt,2950294,DE,Burnett Heads,2173134,AU
Bergneustadt,2950294,DE,Burgstädt,2941150,DE
Bergneustadt,2950294,DE,Bürgstadt,2941151,DE
Bergneustadt,2950294,DE,Bernstadt,2949950,DE
Bergneustadt,2950294,DE,Bergneustadt,2950294,DE
Berlin,2950159,DE,Berlinhafen,2101169,PG
Berlin,2950159,DE,Bern,2661552,CH
Berlin,2950159,DE,Berlin-Tegel,2823708,DE
Berlin,2950159,DE,Berlin-Rudow,2843350,DE
Berlin,2950159,DE,Berlin,2950159,DE
Białystok,776069,PL,Bratskoye,571702,RU
Białystok,776069,PL,Bilyarsk,576342,RU
Białystok,776069,PL,Bilytske,712613,UA
Białystok,776069,PL,Biała Spiska,723529,SK
Białystok,776069,PL,Białystok,776069,PL
Bludenz,2781680,AT,Balud,1727792,PH
Bludenz,2781680,AT,Bude,2654380,GB
Bludenz,2781680,AT,Buckden,2654419,GB
Bludenz,2781680,AT,Bludesch,2781678,AT
Bludenz,2781680,AT,Bludenz,2781680,AT
Bp.,3054643,HU,Beppu,1864750,JP
Bp.,3054643,HU,Belper,2655942,GB
Bp.,3054643,HU,Budapest X. kerülete,3049646,HU
Bp.,3054643,HU,B.H.,3470127,BR
Bp.,3054643,HU,Budapest VI. kerület,7284828,HU
Bräunlingen,2945051,DE,Balige,1215510,ID
Bräunlingen,2945051,DE,Bruni,1820906,BN
Bräunlingen,2945051,DE,Brauntone,2654919,GB
Bräunlingen,2945051,DE,Tuningen,2820786,DE
Bräunlingen,2945051,DE,Bräunlingen,2945051,DE
Budapest,3054643,HU,Budeşti,683434,RO
Budapest,3054643,HU,Buda,711337,UA
Budapest,3054643,HU,Bude,2654380,GB
Budapest,3054643,HU,Budapest X. kerülete,3049646,HU
Budapest,3054643,HU,Budapest,3054643,HU
